,Race Number,Track Surface,Inner/Outer Track,Racecourse Condition,Prize Pool,No. of Contestants,Track No.,Gender,Age,Weight,Net Weight,Weight Change,Popularity,Odds,Trainer,Grade,Time Residual,Date,Time,Name
31255,3,grass,right,average,0.0,18,16,female/mare,3,54.0,482.0,4.0,11,122.8,荒川 義之,B,0.0,2013-08-11,69.1,アイアムイシュタル
2306,7,dirt,right,heavy,0.0,16,11,female/mare,4,54.0,484.0,6.0,7,18.4,奥平 雅士,A,-0.7999999999999972,2013-01-20,73.5,アイアムネフライト
11625,5,grass,right,average,0.0,16,2,female/mare,3,52.0,400.0,-6.0,13,38.2,手塚 貴久,C,3.5,2013-03-24,70.6,アイサレジョウズ
29204,1,grass,right,average,0.0,14,8,female/mare,2,54.0,476.0,0.0,12,145.9,梅内 忍,D,1.5,2013-07-28,70.7,アイズユーニン
26688,12,grass,right,average,180.0,16,16,female/mare,5,55.0,504.0,0.0,3,5.2,矢野 照正,B,-0.5,2013-07-13,70.0,アイティクイーン
24686,8,grass,right,average,108.0,16,6,female/mare,5,55.0,504.0,-4.0,6,19.4,矢野 照正,C,0.20000000000000284,2013-06-29,69.0,アイティクイーン
12878,7,grass,right,average,0.0,16,14,female/mare,5,55.0,494.0,-14.0,5,13.2,矢野 照正,C,0.0,2013-04-06,69.7,アイティクイーン
23996,3,grass,right,average,0.0,16,9,female/mare,3,54.0,428.0,0.0,4,5.9,矢野 照正,B,0.9000000000000057,2013-06-23,71.0,アイティコスモス
2242,3,dirt,right,heavy,0.0,16,3,female/mare,3,54.0,428.0,8.0,3,7.7,矢野 照正,B,3.4000000000000057,2013-01-20,73.9,アイティコスモス
27909,3,grass,right,average,69.0,16,4,female/mare,3,54.0,430.0,2.0,7,13.6,矢野 照正,B,0.3999999999999915,2013-07-21,70.2,アイティコスモス
33598,1,dirt,left,heavy,200.0,15,6,female/mare,2,54.0,446.0,-2.0,3,9.4,矢野 照正,B,-0.6000000000000085,2013-08-31,72.2,アイティダイヤ
35843,1,dirt,right,somewhat heavy,125.0,16,2,female/mare,2,54.0,450.0,4.0,1,1.9,矢野 照正,B,0.29999999999999716,2013-09-17,74.0,アイティダイヤ
126,9,dirt,right,average,696.0,16,6,male/stallion,7,57.0,502.0,4.0,10,34.2,本田 優,B,-2.0,2013-01-05,70.6,アイディンパワー
1430,10,dirt,right,average,0.0,16,12,male/stallion,7,57.0,502.0,0.0,5,8.8,本田 優,B,0.0,2013-01-13,71.8,アイディンパワー
34995,1,dirt,right,bad,0.0,15,8,female/mare,2,54.0,446.0,-10.0,5,13.6,本田 優,C,-1.0,2013-09-08,74.3,アイディンラヴ
2212,1,dirt,right,heavy,0.0,15,6,female/mare,3,54.0,456.0,-2.0,6,12.2,大和田 成,B,16.299999999999997,2013-01-20,74.1,アイドルワン
10568,3,dirt,right,average,500.0,16,5,female/mare,3,54.0,452.0,0.0,3,5.5,矢野 英一,A,-4.1000000000000085,2013-03-17,73.2,アイネクライネ
7437,2,dirt,right,average,125.0,16,12,female/mare,3,54.0,452.0,0.0,5,8.7,矢野 英一,B,-0.30000000000001137,2013-02-24,73.8,アイネクライネ
31124,7,dirt,left,average,0.0,15,8,female/mare,3,52.0,470.0,16.0,14,70.5,矢野 英一,B,0.20000000000000284,2013-08-11,72.3,アイネクライネ
3035,1,dirt,left,somewhat heavy,125.0,16,12,female/mare,3,51.0,452.0,-2.0,6,12.6,矢野 英一,C,-0.7999999999999972,2013-01-26,75.1,アイネクライネ
4540,1,dirt,left,average,0.0,16,3,female/mare,3,54.0,428.0,2.0,5,15.0,友道 康夫,B,1.6999999999999886,2013-02-03,76.3,アイノタマテバコ
30383,1,grass,right,heavy,200.0,7,7,male/stallion,2,54.0,398.0,0.0,1,1.5,須貝 尚介,B,0.4000000000000057,2013-08-10,73.2,アイノデンドウシ
26216,12,grass,right,average,0.0,13,5,male/stallion,6,57.0,464.0,-6.0,11,84.2,吉田 直弘,B,-1.7000000000000028,2013-07-07,70.8,アイビーフォールド
33395,10,grass,right,bad,0.0,18,10,male/stallion,6,53.0,460.0,-4.0,18,176.5,吉田 直弘,C,2.8000000000000114,2013-08-25,68.6,アイビーフォールド
8901,8,grass,right,average,670.0,18,7,male/stallion,6,55.0,462.0,0.0,1,4.2,吉田 直弘,B,-0.7999999999999972,2013-03-03,68.8,アイビーフォールド
5273,8,grass,right,average,167.5,15,4,male/stallion,6,54.0,462.0,2.0,5,12.6,吉田 直弘,C,3.200000000000003,2013-02-09,68.6,アイビーフォールド
